NeuronID,Type
TH-F-000005,1A
TH-F-000007,1A
TH-F-000081,1A
TH-F-000086,1A
TH-F-000098,1A
TH-F-100101,1A
TH-M-000031,1A
TH-M-000069,1A
TH-M-100005,1A
TH-M-100006,1A
TH-M-100008,1A
TH-M-100071,1B
TH-M-200052,1A
TH-M-200062,1A
TH-F-000037,1B
TH-F-100105,1B
TH-F-100110,1B
TH-F-200035,1B
TH-F-300004,1B
TH-M-100010,1B
TH-M-100021,1B
TH-M-100041,1B
TH-M-100044,1B
TH-M-200056,1B
TH-F-000011,2B
TH-F-300078,2A
TH-M-000071,2A
TH-F-000012,3
TH-F-100046,3
TH-M-000013,3
TH-M-000030,3
TH-F-300052,4A
TH-F-300067,4A
TH-M-000042,4A
TH-M-200035,4A
TH-M-300048,4B
