"","x"
"1",NA
"2",NA
"3","Cha-F-300186"
"4","Cha-F-300221"
"5",NA
"6","Cha-F-600081"
"7",NA
"8",NA
"9",NA
"10","fru-F-400011"
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18","VGlut-F-200389"
"19","VGlut-F-300393"
"20","VGlut-F-500253"
"21","VGlut-F-600090"
"22","VGlut-F-600752"
"23","VGlut-F-700430"
"24","VGlut-F-700436"
"25","Cha-F-000193"
"26","Cha-F-200282"
"27",NA
"28","Cha-F-300146"
"29",NA
"30","fru-F-500099"
"31","fru-F-500229"
"32","fru-F-600043"
"33",NA
"34","Gad1-F-000079"
"35","Gad1-F-100072"
"36","Gad1-F-100072"
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43","Cha-F-700026"
"44",NA
"45","fru-F-500099"
"46","fru-F-500183"
"47","fru-F-700136"
"48","Gad1-F-200127"
"49",NA
"50","Gad1-F-800028"
"51","VGlut-F-200257"
"52","VGlut-F-300442"
"53","VGlut-F-400166"
"54","VGlut-F-600059"
"55","Cha-F-000317"
"56",NA
"57","Cha-F-100068"
"58","Cha-F-100141"
"59","Cha-F-200082"
"60","Cha-F-200169"
"61","Cha-F-200186"
"62",NA
"63",NA
"64","Cha-F-300241"
"65","Cha-F-400179"
"66",NA
"67","Cha-F-500138"
"68","Cha-F-500187"
"69",NA
"70",NA
"71","Cha-F-800011"
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
"79",NA
"80",NA
"81",NA
"82",NA
"83",NA
"84",NA
"85",NA
"86",NA
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95","Gad1-F-100003"
"96","Gad1-F-100023"
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",NA
"107",NA
"108","Gad1-F-300135"
"109",NA
"110",NA
"111",NA
"112",NA
"113",NA
"114",NA
"115",NA
"116","Gad1-F-500023"
"117",NA
"118","Gad1-F-900052"
"119",NA
"120","VGlut-F-400084"
"121","VGlut-F-400394"
"122","VGlut-F-500243"
"123","Cha-F-000242"
"124",NA
"125","Cha-F-200201"
"126",NA
"127",NA
"128",NA
"129","fru-F-600103"
"130",NA
"131",NA
"132","Gad1-F-300038"
"133",NA
"134",NA
"135",NA
"136",NA
"137",NA
"138",NA
"139","VGlut-F-000366"
"140","VGlut-F-100009"
"141","VGlut-F-400241"
"142","VGlut-F-400535"
"143","VGlut-F-500255"
"144","VGlut-F-500269"
"145","VGlut-F-500378"
"146","VGlut-F-500507"
"147","VGlut-F-500603"
"148","VGlut-F-500744"
"149","VGlut-F-500847"
"150","VGlut-F-600069"
"151","VGlut-F-600072"
"152","VGlut-F-600078"
"153","VGlut-F-600081"
"154","VGlut-F-600109"
"155","VGlut-F-600228"
"156","VGlut-F-600516"
"157","VGlut-F-600598"
"158","VGlut-F-700009"
"159","VGlut-F-700213"
"160","VGlut-F-700266"
"161","VGlut-F-700284"
"162","Cha-F-000048"
"163","Cha-F-000158"
"164","Cha-F-200185"
"165",NA
"166","Cha-F-300272"
"167","Cha-F-400151"
"168",NA
"169",NA
"170",NA
"171",NA
"172",NA
"173",NA
"174","Gad1-F-000096"
"175",NA
"176","Gad1-F-200144"
"177",NA
"178",NA
"179",NA
"180",NA
"181","VGlut-F-200319"
"182","VGlut-F-400267"
"183","VGlut-F-500032"
"184","VGlut-F-500444"
"185","VGlut-F-600424"
"186","VGlut-F-600716"
"187","VGlut-F-700360"
"188","VGlut-F-700522"
"189","Cha-F-100028"
"190",NA
"191",NA
"192",NA
"193",NA
"194","VGlut-F-300574"
"195","VGlut-F-500399"
"196","VGlut-F-500411"
"197","VGlut-F-600764"
"198","VGlut-F-700084"
"199","VGlut-F-700602"
"200",NA
"201","Cha-F-500001"
"202",NA
"203",NA
"204",NA
"205","Cha-F-000278"
"206",NA
"207",NA
"208",NA
"209","Cha-F-100001"
"210","Cha-F-100223"
"211","Cha-F-700110"
"212","Cha-F-700112"
"213","Gad1-F-000108"
"214",NA
"215",NA
"216","Gad1-F-200150"
"217",NA
"218","Gad1-F-900054"
"219","Cha-F-000258"
"220",NA
"221","Cha-F-100083"
"222",NA
"223","Cha-F-300204"
"224","Cha-F-300258"
"225","Cha-F-400222"
"226","Cha-F-500116"
"227",NA
"228",NA
"229","Cha-F-800045"
"230",NA
"231","fru-F-200126"
"232","fru-F-400180"
"233",NA
"234","Gad1-F-000006"
"235",NA
"236",NA
"237",NA
"238",NA
"239",NA
"240",NA
"241",NA
"242",NA
"243",NA
"244","Gad1-F-200039"
"245",NA
"246",NA
"247",NA
"248",NA
"249",NA
"250",NA
"251",NA
"252",NA
"253",NA
"254",NA
"255","Gad1-F-500014"
"256","Gad1-F-500089"
"257",NA
"258",NA
"259",NA
"260",NA
"261",NA
"262",NA
"263",NA
"264",NA
"265",NA
"266",NA
"267","Gad1-F-700032"
"268",NA
"269",NA
"270",NA
"271",NA
"272","Gad1-F-800082"
"273",NA
"274",NA
"275",NA
"276","Gad1-F-900040"
"277",NA
"278",NA
"279","TH-F-000012"
"280","TH-F-100046"
"281","TH-F-300078"
"282","Trh-F-300041"
"283","VGlut-F-000390"
"284","VGlut-F-200015"
"285","VGlut-F-200021"
"286","VGlut-F-200382"
"287","VGlut-F-200392"
"288","VGlut-F-300265"
"289","VGlut-F-400058"
"290","VGlut-F-400170"
"291","VGlut-F-400863"
"292","VGlut-F-500113"
"293","VGlut-F-500832"
"294","VGlut-F-800054"
"295","VGlut-F-900028"
